id,y
1,0
2,1
4,1
6,2
9,1
10,0
12,0
15,0
16,1
17,1
19,1
21,2
22,1
23,0
24,0
25,0
26,1
28,1
31,1
32,1
35,1
36,1
37,1
38,1
41,1
43,2
45,1
46,1
50,0
51,1
53,1
54,1
57,1
60,1
61,1
62,1
63,1
64,1
67,1
68,1
69,1
71,1
73,0
75,2
76,1
78,1
79,2
81,1
82,1
83,2
84,1
85,2
86,1
87,1
88,1
92,0
93,0
94,2
96,0
97,0
98,1
99,0
100,1
103,1
105,1
107,2
108,1
111,0
114,1
118,0
119,1
124,2
126,1
127,1
128,1
129,1
130,1
131,2
132,1
134,2
136,1
137,1
138,1
140,1
141,0
142,1
143,0
145,1
148,0
149,2
151,1
152,1
153,2
154,1
156,2
157,1
159,1
160,2
161,0
162,1
163,1
164,2
165,2
168,0
169,1
170,1
171,0
173,1
174,1
175,1
176,0
177,1
178,0
179,2
180,0
181,1
182,2
183,1
184,1
185,1
187,1
188,1
189,1
191,2
192,0
194,1
195,1
196,1
197,1
198,0
200,1
201,2
206,0
207,2
208,1
209,2
210,2
211,2
212,1
214,1
215,1
217,1
218,2
219,1
220,1
221,1
222,1
224,0
227,0
228,1
230,0
231,2
232,2
233,1
234,1
235,2
236,0
237,1
239,1
240,1
242,2
244,1
245,1
246,1
247,0
248,1
249,1
250,1
252,1
254,1
256,0
259,1
260,1
262,1
264,1
265,0
266,2
268,1
269,1
270,1
271,2
272,0
275,0
277,1
278,0
280,1
282,1
285,2
286,1
287,2
289,1
290,2
292,1
293,2
295,0
298,2
299,1
305,0
306,1
311,1
313,1
314,1
315,0
316,0
319,1
321,1
326,1
327,0
329,2
330,2
332,1
334,1
335,1
336,1
338,1
339,1
340,1
342,1
343,2
344,1
345,0
346,1
347,0
348,1
349,1
350,2
351,1
352,1
355,2
357,1
358,1
360,1
361,1
362,2
364,2
365,0
366,1
367,1
369,1
370,1
372,1
373,1
374,0
376,2
378,1
380,0
381,2
382,0
383,2
385,1
386,1
389,2
392,1
393,1
394,1
395,2
397,2
398,1
399,0
401,1
402,2
403,0
405,0
406,1
407,2
408,1
412,0
413,2
414,2
416,1
417,1
419,2
420,1
421,0
423,2
424,0
426,2
430,1
431,1
433,1
434,1
435,1
439,1
440,1
441,1
442,1
443,2
445,1
447,1
449,0
450,1
451,2
452,0
456,1
458,1
459,2
460,1
462,2
463,1
464,1
465,1
466,1
467,0
469,0
471,2
472,1
474,2
477,1
478,1
480,0
481,0
483,2
485,2
486,1
488,2
492,1
493,0
494,1
496,0
497,0
501,1
502,1
503,1
506,1
508,2
509,0
510,2
512,1
513,2
515,1
516,0
518,1
520,1
521,0
523,2
528,1
532,2
534,1
535,0
536,1
537,1
539,1
541,2
544,1
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,1
556,1
557,1
558,0
559,1
560,1
561,0
565,1
569,2
570,2
572,1
573,1
575,0
578,0
581,1
583,1
585,1
586,1
587,0
589,1
591,1
592,1
593,1
594,1
595,2
596,2
597,1
600,1
601,0
603,1
605,1
607,1
609,2
610,2
612,2
613,1
614,1
615,1
618,0
620,1
621,1
622,1
626,2
628,1
629,2
630,1
631,1
632,1
635,0
636,1
637,0
638,2
639,1
640,0
641,0
642,1
643,1
645,0
646,2
648,1
649,1
651,1
653,2
655,0
656,2
657,0
663,2
666,0
